Date,Date,Open,High,Low,Close,Volume,Turnover,Year,Month,Day,WeekOfYear,vol_(t+1),volume_shock,VOL_SHOCK_DIR,price_t+1,price_shock,price_black_swan,PRICE_SHOCK_DIR,BLACK_SWAN_SHOCK_DIR,not_vol_shock,price_shock_w/0_vol_shock
2015-10-07,2015-10-07,2693.95,2717.0,2646.95,2653.95,1032765,276573077340000.0,2015,10,7,41,1989795.0,1,1.0,2700.0,0,0,,,0,0
2015-10-08,2015-10-08,2670.0,2678.35,2620.0,2633.8,1178775,311504944130000.0,2015,10,8,41,1032765.0,1,0.0,2653.95,0,0,,,0,0
2015-10-09,2015-10-09,2650.5,2650.6,2608.0,2629.65,1124862,295707334525000.0,2015,10,9,41,1178775.0,0,,2633.8,0,0,,,1,0
2015-10-10,2015-10-09,2650.5,2650.6,2608.0,2629.65,1124862,295707334525000.0,2015,10,9,41,1124862.0,0,,2629.65,0,0,,,1,0
2015-10-11,2015-10-09,2650.5,2650.6,2608.0,2629.65,1124862,295707334525000.0,2015,10,9,41,1124862.0,0,,2629.65,0,0,,,1,0
2015-10-12,2015-10-12,2655.0,2660.35,2587.0,2592.6,1227956,320762545435000.0,2015,10,12,42,1124862.0,0,,2629.65,0,0,,,1,0
2015-10-13,2015-10-13,2602.8,2612.0,2567.6,2598.55,3089856,800153587760000.0,2015,10,13,42,1227956.0,1,0.0,2592.6,0,0,,,0,0
2015-10-14,2015-10-14,2548.0,2548.0,2480.0,2483.7,4168564,1043222048030000.0,2015,10,14,42,3089856.0,1,0.0,2598.55,1,1,1.0,1.0,0,0
2015-10-15,2015-10-15,2490.0,2503.5,2465.0,2467.75,1607855,398451186685000.0,2015,10,15,42,4168564.0,1,1.0,2483.7,0,0,,,0,0
2015-10-16,2015-10-16,2480.9,2492.0,2470.0,2473.75,1166914,289145171010000.0,2015,10,16,42,1607855.0,1,1.0,2467.75,0,0,,,0,0
2015-10-17,2015-10-16,2480.9,2492.0,2470.0,2473.75,1166914,289145171010000.0,2015,10,16,42,1166914.0,0,,2473.75,0,0,,,1,0
2015-10-18,2015-10-16,2480.9,2492.0,2470.0,2473.75,1166914,289145171010000.0,2015,10,16,42,1166914.0,0,,2473.75,0,0,,,1,0
2015-10-19,2015-10-19,2490.0,2494.95,2455.85,2488.75,1565321,387244983110000.0,2015,10,19,43,1166914.0,1,0.0,2473.75,0,0,,,0,0
2015-10-20,2015-10-20,2496.25,2530.0,2495.6,2526.75,1347542,339708985545000.0,2015,10,20,43,1565321.0,1,1.0,2488.75,0,0,,,0,0
2015-10-21,2015-10-21,2535.0,2542.0,2522.25,2530.0,964844,244344915855000.03,2015,10,21,43,1347542.0,1,1.0,2526.75,0,0,,,0,0
2015-10-22,2015-10-21,2535.0,2542.0,2522.25,2530.0,964844,244344915855000.03,2015,10,21,43,964844.0,0,,2530.0,0,0,,,1,0
2015-10-23,2015-10-23,2548.0,2548.0,2527.3,2537.15,1167699,295971346590000.0,2015,10,23,43,964844.0,1,0.0,2530.0,0,0,,,0,0
2015-10-24,2015-10-23,2548.0,2548.0,2527.3,2537.15,1167699,295971346590000.0,2015,10,23,43,1167699.0,0,,2537.15,0,0,,,1,0
2015-10-25,2015-10-23,2548.0,2548.0,2527.3,2537.15,1167699,295971346590000.0,2015,10,23,43,1167699.0,0,,2537.15,0,0,,,1,0
